Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
2021-03-03,CT,283622,84924,19547,41303,2987,389,0,17417,15108,101947,41303,140372,101947,7678,5397,902,778,83,3,0,350,39,126,778,6774,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,DC,40818,10535,19888,0,888,85,79,0,9091,252,8397,29663,2758,1023,105,766,119,14,0,0,0,0,19,119,885,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,DE,87425,42195,19574,14402,1828,0,0,0,5163,4263,14402,68760,4263,1440,1010,325,77,11,0,0,0,15,2,77,1361,2,0,0,0,0,0,0,0,0,0,0,0,0,0,628389,308990,116763,54599,15949,0,0,0,57926,74162,54599,499628,74162
2021-03-03,FL,1924114,655618,235253,600647,0,0,0,0,139619,292977,600647,905952,417515,31829,17074,4751,7222,0,0,0,0,1425,1357,7222,21882,2725,81278,37666,15963,20341,0,0,0,0,4245,3063,20341,55748,5189,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,GA,1014542,316390,214195,84820,17622,485,738,0,35689,344603,84820,497137,432585,17625,8804,5191,842,293,10,9,0,76,2400,842,14301,2482,56369,24083,21868,6126,1016,20,65,0,1063,2128,6126,45708,4535,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,GU,7745,419,0,0,2275,0,3991,0,434,626,0,0,7745,131,3,0,0,33,0,77,0,4,14,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,HI,27640,3646,580,0,6068,0,8008,0,1035,8303,0,0,27640,441,40,4,0,244,0,137,0,6,10,0,0,441,2226,151,15,0,521,0,660,0,38,841,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,IA,337688,192482,10131,0,3377,888,824,0,2379,127607,13508,192482,131698,5501,5103,133,0,61,18,16,0,45,125,137,5364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,ID,172288,99480,1005,0,1211,2037,409,0,13153,54993,17288,73544,81456,1876,1761,9,0,17,35,0,0,41,13,186,1682,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,IL,1191520,465088,109838,218440,26699,1467,1117,0,40637,328234,218440,644846,328234,22853,12118,3646,3262,735,26,20,0,123,2923,3262,16668,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,18315522,5949931,1335717,1241793,700911,14954,18510,0,524856,8528850,1241793,8544879,8528850
2021-03-03,IN,663511,449508,44223,0,8920,0,0,0,72481,88379,38141,347686,277684,12633,9009,930,0,70,0,0,0,1578,1046,272,6744,5617,0,0,0,0,0,0,0,0,0,0,0,0,0,3127593,2159492,238005,0,59124,0,0,0,379816,291156,120306,1523011,1484276
2021-03-03,KS,295109,209133,14291,0,5492,2069,0,0,12144,51980,39072,181823,74214,4816,3724,236,0,63,37,0,0,243,513,308,3799,709,9355,7092,749,0,173,67,0,0,621,653,1345,7142,868,1264760,802054,60877,0,24390,8098,0,0,44868,324473,95201,694741,474818
2021-03-03,KY,407373,263025,26476,0,3624,823,374,15899,0,97152,17329,297396,92648,4704,3838,369,0,22,4,2,112,0,357,71,4116,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,LA,431771,218332,136460,0,16684,1527,492,0,34552,23724,0,0,431771,9668,5798,3723,0,75,15,13,0,39,5,238,8966,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MA,584743,219467,35342,125873,16039,504,156,0,47605,139757,125873,319113,139757,16252,12022,1069,1289,414,11,5,0,1373,69,1289,14894,69,19713,10414,1900,3041,709,10,7,0,1957,1675,3041,14997,1675,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MD,383956,132787,110215,61746,8706,0,0,0,17998,52504,61746,269706,52504,7919,4059,2723,724,273,0,0,0,78,62,724,7133,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,ME,45091,35657,2236,0,496,137,22,173,905,5465,685,30557,13849,705,562,10,0,3,5,0,0,6,119,6,463,236,1545,1339,63,0,22,7,0,3,30,81,22,1335,188,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MI,650762,374695,73719,0,10287,3563,0,25774,35251,127473,33670,418606,198486,16550,11135,3615,0,178,79,0,269,421,853,476,13130,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MN,486434,324799,38593,43504,21179,4609,545,8313,6743,38149,43504,404781,38149,6507,5410,318,200,255,89,6,95,23,111,200,6196,111,25863,16604,2982,2173,1442,454,30,664,238,1276,2173,22414,1276,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,MO,479069,250758,42045,0,4285,939,22,108,63839,117073,17094,257746,204229,8148,5150,1067,0,67,12,1,0,1298,553,170,6379,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,4508176,1749623,348828,0,43523,6739,40,192,1588788,770443,79786,2124242,2304148
2021-03-03,MP,144,0,0,0,0,0,0,0,0,144,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
